id,gameId,playerId,breakScore,round1,round2,final,coryat,playerId,wins
10462,3383,6417,3200,6800,19600,37100,18800,6417,3
12714,4077,8181,3600,5800,37000,37000,19800,8181,2
8450,1793,3617,1000,4600,19000,37000,19000,3617,1
11652,3458,6976,2800,9200,33600,37000,22600,6976,6
6298,1539,1,6200,10200,33600,37000,30600,1,74
13972,4865,9779,2400,5000,18500,36998,16600,9779,6
12130,3791,7606,5600,11600,22400,36900,20600,7606,9
8896,2579,5135,4200,8200,21000,36801,18600,5135,5
11872,3880,7785,3200,5700,24000,36801,24600,7785,2
10388,3408,6864,2000,5000,31800,36800,22200,6864,1
5922,3064,6165,7600,8800,20400,36800,20400,6165,1
8815,1292,2626,1000,3200,18400,36800,12000,2626,2
11440,3532,7110,0,5000,18400,36799,14800,7110,8
11057,3672,7392,3200,6400,22400,36500,13200,7392,1
14383,4679,9409,8000,9800,18200,36400,16800,9409,4
9958,2896,5804,2000,7600,28200,36399,25000,5804,3
6438,3147,6290,2800,8600,25800,36399,29800,6290,5
8653,1498,3033,4200,6000,20600,36001,17400,3033,2
6514,3245,6535,1000,5200,18000,36000,19000,6535,4
9475,2146,4305,1800,8400,28000,36000,24800,4305,5
5554,2716,5447,4400,6600,20600,36000,20600,5447,3
13681,4323,8715,2400,5600,18000,35999,17200,8715,2
12382,4259,8554,7700,10900,20900,35900,17400,8554,4
11318,3576,7208,NULL,NULL,36681,35734,31600,7208,2
7064,250,544,1400,5400,20200,35601,17800,544,2
9574,2059,4137,4200,7800,23000,35601,21400,4137,3
11845,3890,7804,3600,6800,18000,35601,17600,7804,1
12694,4086,8196,1600,7600,18000,35601,14800,8196,1
14573,5189,10443,4600,8400,18200,35601,15400,10443,2
9600,3102,6254,3800,5800,17800,35599,18400,6254,1
9034,2486,4956,2200,6000,30400,35400,25200,4956,6
12270,3743,7528,5000,5400,17800,35400,16600,7528,2
7116,198,417,4600,6800,24000,35201,24000,417,2
11701,3945,7915,2400,5200,22400,35201,22800,7915,2
6312,2645,480,2400,5400,20600,35201,12600,480,2
13933,4880,9815,1400,5200,28200,35200,18000,9815,7
11313,3578,7209,400,4000,17600,35200,13600,7209,1
10687,3285,6612,7200,12200,28200,35199,22000,6612,6
6283,1594,1,4800,12800,38600,35158,35400,1,74
7447,22,1,2400,5200,28600,35038,28800,1,74
6244,2694,1,6000,8400,30400,35000,28400,1,74
9793,2984,5975,2400,5400,36600,35000,31400,5975,3
6274,1612,1,3000,10000,32200,35000,28400,1,74
10111,2793,5565,4000,10800,30800,35000,30400,5565,4
13177,4516,9037,10200,13600,28400,35000,22800,9037,20
11123,3646,7339,3400,9000,33600,35000,26600,7339,2
14332,4701,9468,6600,8600,27800,35000,26200,9468,3
12498,4193,8423,1600,4200,25000,35000,20200,8423,4
5902,2860,5740,3800,7800,31000,35000,17800,5740,3
7432,27,1,5400,6000,26000,35000,27200,1,74
6205,2729,1,4000,8400,27800,35000,27600,1,74
7435,26,1,6200,9600,26000,35000,26000,1,74
13553,4364,8797,2600,6000,19600,34801,12000,8797,3
6307,2646,480,3800,5800,19000,34801,19000,480,2
6610,3142,6207,4000,8600,23100,34800,21000,6207,7
8547,1757,3546,3200,7400,28700,34700,25600,3546,1
6531,4751,9238,1400,5400,17600,34600,16600,9238,2
11138,3641,7329,600,1600,18300,34500,18000,7329,3
14679,5137,10341,3200,8600,25200,34401,21400,10341,1
14854,5056,10171,1800,5000,33000,34401,24600,10171,13
10533,3356,6770,1000,6800,21000,34401,18400,6770,1
10775,3242,6543,3400,6600,17800,34401,15400,6543,1
12263,3745,7531,5600,10000,23600,34401,21800,7531,2
13372,4434,8885,5600,15000,29400,34400,26200,8885,11
6981,311,638,1400,6600,17200,34399,15800,638,2
11635,3463,6976,2600,10000,35200,34399,23800,6976,6
12159,3781,7599,2200,6400,25600,34399,26400,7599,2
8556,1717,3433,3000,8796,17196,34389,17400,3433,2
12194,3767,7572,1800,6600,34800,34300,22600,7572,2
6520,3241,6535,5600,7800,24200,34200,23400,6535,4
6856,431,861,6600,10000,23700,34200,24800,861,19
12689,4088,8197,1000,2200,34200,34200,28400,8197,3
7399,38,1,3400,9400,25200,34001,22200,1,74
11188,3623,7292,3600,7200,28000,34000,24800,7292,4
