id,correct,amount
6527,TRUE,600
6557,TRUE,1600
6572,TRUE,2000
6596,FALSE,1000
6621,TRUE,2000
6632,FALSE,6800
6652,TRUE,1200
6674,TRUE,3000
6677,FALSE,1200
6716,FALSE,1000
6733,FALSE,400
6740,TRUE,1000
6761,FALSE,2000
6793,TRUE,1400
6794,FALSE,2000
6831,FALSE,800
6848,FALSE,1000
6852,TRUE,1200
6879,FALSE,800
6897,TRUE,400
6907,TRUE,1200
6928,TRUE,1600
6960,TRUE,800
6969,FALSE,1600
6994,FALSE,10
7012,TRUE,2800
7017,FALSE,2600
7050,FALSE,800
7066,FALSE,2000
7067,TRUE,800
7106,FALSE,1000
7117,TRUE,2000
7121,TRUE,2600
7154,FALSE,800
7168,TRUE,2000
7203,FALSE,1000
7232,TRUE,3000
7235,FALSE,1400
7279,FALSE,1000
7295,FALSE,4000
7297,TRUE,2000
7327,FALSE,600
7354,TRUE,4000
7362,TRUE,3600
7391,TRUE,600
7409,TRUE,4000
7416,TRUE,3002
7438,TRUE,800
7474,FALSE,400
7476,FALSE,2000
7502,FALSE,1000
7527,FALSE,1000
7534,FALSE,1000
7565,FALSE,1000
7578,FALSE,1000
7585,TRUE,2000
7619,FALSE,1000
7645,TRUE,1400
7646,TRUE,1600
7672,FALSE,800
7695,TRUE,1200
7698,TRUE,1000
7719,FALSE,1000
7742,TRUE,600
7765,FALSE,1000
7799,TRUE,1600
7800,TRUE,3800
7832,TRUE,800
7862,TRUE,1600
7866,FALSE,2000
7893,TRUE,1000
7915,TRUE,2000
7919,TRUE,2000
7945,TRUE,1000
7962,TRUE,2000
7963,TRUE,2000
7984,TRUE,600
8019,TRUE,4000
8022,TRUE,6800
8063,FALSE,1200
8079,TRUE,1600
8094,TRUE,10000
8114,TRUE,1800
8151,FALSE,2000
8152,FALSE,2000
8190,FALSE,600
8213,TRUE,2000
8214,FALSE,2000
8239,TRUE,1600
8274,FALSE,1200
8276,FALSE,1600
8309,TRUE,2000
8322,TRUE,1400
8324,FALSE,2000
8355,TRUE,600
8383,FALSE,3000
8385,FALSE,2000
8420,TRUE,400
8437,FALSE,2800
8438,TRUE,1200
8465,FALSE,1000
8499,TRUE,1000
8500,FALSE,2000
8520,FALSE,600
8541,FALSE,2000
8552,FALSE,2000
8589,TRUE,1000
8605,TRUE,3000
8618,TRUE,400
8635,TRUE,600
8675,TRUE,2000
8676,FALSE,2400
8710,TRUE,1400
8725,TRUE,800
8730,TRUE,2000
8767,FALSE,100
8781,TRUE,2400
8786,TRUE,2000
8808,TRUE,600
8840,TRUE,2700
8847,FALSE,2600
8881,TRUE,2000
8889,FALSE,4000
8907,FALSE,400
8931,TRUE,3000
8935,FALSE,2000
8966,FALSE,1000
8991,TRUE,1200
8996,FALSE,2400
9021,TRUE,3400
9034,TRUE,2400
9044,FALSE,5000
9070,TRUE,1000
9096,TRUE,5000
9097,FALSE,3000
9110,TRUE,2000
9142,TRUE,12000
9157,TRUE,20000
9189,TRUE,1000
9217,TRUE,2000
9218,TRUE,10
9242,TRUE,1000
9266,TRUE,2000
9280,TRUE,1000
9300,TRUE,1200
9322,FALSE,1200
9323,FALSE,2000
9360,TRUE,1000
9375,TRUE,4000
9389,FALSE,3000
9446,TRUE,2000
9449,TRUE,2000
9463,TRUE,1000
9499,FALSE,4000
9510,FALSE,2000
9524,TRUE,2000
9563,TRUE,4000
9570,TRUE,4000
9603,TRUE,1000
9622,FALSE,600
9638,TRUE,1000
9663,TRUE,1000
9674,TRUE,2000
9705,TRUE,1800
9735,TRUE,1200
9750,TRUE,1600
9755,TRUE,1400
9792,FALSE,10
9815,TRUE,4000
9816,FALSE,1790
9853,TRUE,3400
9862,FALSE,4600
9865,FALSE,2600
9908,TRUE,1600
9932,TRUE,2000
9934,TRUE,2200
9976,FALSE,1200
9990,FALSE,2200
9997,FALSE,600
10040,TRUE,1000
10065,TRUE,1600
10066,TRUE,6000
10087,FALSE,1400
10110,TRUE,3600
10114,TRUE,4000
10157,TRUE,1000
10171,TRUE,4000
10172,FALSE,9000
10211,TRUE,1000
10230,TRUE,4400
10233,FALSE,2200
10265,FALSE,1000
10288,TRUE,8000
10291,FALSE,4000
10322,FALSE,4000
10351,TRUE,1400
10352,FALSE,6000
10392,TRUE,600
10407,TRUE,4000
10410,TRUE,1600
10449,FALSE,600
10474,TRUE,6000
10484,TRUE,1600
10500,FALSE,1000
10539,TRUE,2000
10541,FALSE,1400
10569,FALSE,1200
10599,TRUE,3000
10601,TRUE,1000
10617,TRUE,3000
10655,TRUE,2000
10660,TRUE,2000
10681,TRUE,1600
10708,TRUE,2000
10724,TRUE,1800
10762,TRUE,1600
10778,FALSE,1200
10785,FALSE,4000
10809,TRUE,2000
10849,FALSE,1200
10850,TRUE,2000
10883,FALSE,600
10901,TRUE,1600
10910,FALSE,4000
10940,TRUE,1000
10955,FALSE,2000
10970,TRUE,1000
10994,FALSE,2000
11033,FALSE,4800
11035,TRUE,4000
11045,TRUE,1000
11068,FALSE,2000
11078,FALSE,5000
11119,FALSE,1400
11139,FALSE,2000
11144,TRUE,2000
11184,FALSE,400
11195,TRUE,200
11206,FALSE,1000
11235,FALSE,400
11263,FALSE,600
11300,FALSE,400
11321,TRUE,10000
11325,TRUE,4000
11351,TRUE,1000
11372,TRUE,4000
11374,FALSE,5000
11411,FALSE,1600
11433,TRUE,1600
11438,TRUE,1600
11469,FALSE,1000
11485,TRUE,2000
11496,FALSE,800
11524,TRUE,600
11545,FALSE,1600
11548,FALSE,1400
11588,TRUE,1400
11616,FALSE,2600
11652,TRUE,1000
11663,TRUE,2000
11672,FALSE,1200
11692,TRUE,1000
11711,TRUE,2000
11717,TRUE,1600
11752,TRUE,1200
11776,TRUE,2000
11784,FALSE,2000
11812,FALSE,1000
11835,TRUE,4000
11836,TRUE,5200
11866,TRUE,1800
11872,FALSE,6000
11890,TRUE,5400
11916,TRUE,2000
11937,TRUE,2400
11940,FALSE,2000
11966,TRUE,1000
11991,TRUE,2000
11998,TRUE,1600
12031,TRUE,800
12049,FALSE,4000
12053,TRUE,2000
12088,TRUE,1000
12101,TRUE,2000
12109,FALSE,2200
12145,FALSE,600
12161,TRUE,2000
12165,TRUE,2000
12193,TRUE,1000
12229,TRUE,6000
12230,TRUE,6000
12269,TRUE,1600
12282,TRUE,2000
12284,TRUE,1600
12321,TRUE,1000
12331,TRUE,3000
12332,TRUE,2000
12371,TRUE,3200
12393,TRUE,2000
12402,TRUE,3800
12437,TRUE,2000
